epoch,train_loss,train_acc,val_loss,val_acc
1,0.5181700026988983,0.8445,0.28389964270591733,0.902
2,0.2565530575811863,0.920125,0.43128033208847044,0.881
3,0.22352968886494637,0.92875,0.41233591985702517,0.8805
1,0.0,1.0,0.0,1.0
2,0.0,1.0,0.0,1.0
3,0.0,1.0,0.0,1.0
1,0.5273141187429428,0.823,0.29099018812179567,0.9065
2,0.2142410169839859,0.928625,0.19567475593090058,0.9345
3,0.157524000197649,0.94675,0.23342632699012755,0.9265
1,0.8890992527008057,0.736625,0.31270349073410036,0.913
2,0.2598452833890915,0.91925,0.1917115468978882,0.939
3,0.1807343710064888,0.94475,0.18158790111541748,0.9385
4,0.13654258877038955,0.956375,0.12760832238197325,0.9595
5,0.12721023216843605,0.9575,0.11253789091110229,0.963
6,0.10368639802932739,0.96575,0.10827724435925484,0.962
7,0.09810780143737793,0.968,0.09954724651575088,0.964
8,0.09384295704215764,0.96825,0.08936237192153931,0.97
9,0.07899366202950478,0.975875,0.09181046837568282,0.9745
10,0.08208158531785012,0.972,0.08867245781421661,0.9715
11,0.07438524071872234,0.977,0.08776627293229103,0.971
12,0.08072653384506702,0.974125,0.09863252031803131,0.966
13,0.0738891793563962,0.979625,0.08387738758325577,0.9725
14,0.07958737433701754,0.975,0.09316788840293884,0.9685
15,0.07099280181527137,0.9775,0.08427826315164566,0.977
16,0.08019188217818737,0.973125,0.08731808137893676,0.973
17,0.07823881386965513,0.975875,0.08487164461612702,0.97
18,0.07834172637760639,0.974875,0.08491915547847748,0.974
19,0.07389584924280644,0.9765,0.07712672185897827,0.9735
20,0.07560107577592134,0.97375,0.08471258413791656,0.971
1,0.4690891749858856,0.844875,0.30374259027838707,0.896
2,0.2370725852251053,0.9225,0.17495163148641588,0.938
3,0.14357935228943824,0.951375,0.14588670784235,0.9445
1,0.5043248867988587,0.82475,0.3334931184053421,0.897
2,0.22707680144906045,0.9265,0.3378147747516632,0.903
3,0.16300769764184952,0.943875,0.2677170853614807,0.9175
1,0.5418929925560951,0.825875,0.3071656466722488,0.898
2,0.22545036816596986,0.927125,0.2479717216193676,0.917
3,0.14895837157964706,0.951625,0.16923528188467027,0.9505
4,0.1321707456111908,0.955875,0.17099621331691742,0.94
5,0.1021599761992693,0.966625,0.14839200150966644,0.951
6,0.09591211851686239,0.967625,0.1294477982223034,0.9555
7,0.08610580646246671,0.971625,0.11507935975492001,0.962
8,0.04080015304591507,0.98675,0.06739904469251633,0.9775
9,0.03340843688696623,0.99125,0.06126012354902923,0.976
10,0.03062217596359551,0.990375,0.05752151446044445,0.981
11,0.02718970997259021,0.991375,0.05012897719070315,0.982
12,0.02255286014545709,0.993625,0.060560221791267396,0.977
13,0.023254984993487597,0.993,0.06293177827447653,0.981
14,0.024108603375032542,0.992375,0.05164635454118252,0.98
15,0.021443946350365877,0.993875,0.060373287844471636,0.9785
16,0.018208729540929197,0.995,0.06268975238502025,0.9775
17,0.022103002212941647,0.9935,0.05288924956321716,0.9775
18,0.020012535572052,0.9945,0.05173964437842369,0.984
19,0.020232394699938594,0.994,0.05461874713376164,0.983
20,0.018639804866164924,0.99375,0.051738225204870106,0.982
21,0.019817048287019134,0.99325,0.05032702144235372,0.979
22,0.018532079978846015,0.99525,0.05011827799677849,0.982
23,0.018548018001019954,0.995375,0.049829480290412904,0.983
24,0.017921906393021346,0.995625,0.049490856394171716,0.983
25,0.019683439646847545,0.99325,0.0456951602846384,0.9845
26,0.01855587412789464,0.994625,0.05428003518283367,0.98
27,0.01719385203719139,0.995875,0.05104632701724768,0.9795
28,0.017642088796012104,0.995875,0.05097155075147748,0.9825
29,0.01765799176879227,0.99475,0.049403149254620075,0.979
30,0.019629645972978324,0.994125,0.05329078622162342,0.9815
